date,close
2019-01-02 00:00:00+00:00,99.31
2019-01-03 00:00:00+00:00,97.11
2019-01-04 00:00:00+00:00,100.69
2019-01-07 00:00:00+00:00,100.76
2019-01-08 00:00:00+00:00,100.57
2019-01-09 00:00:00+00:00,100.4
2019-01-10 00:00:00+00:00,100.39
2019-01-11 00:00:00+00:00,99.91
2019-01-14 00:00:00+00:00,100.94
2019-01-15 00:00:00+00:00,101.68
2019-01-16 00:00:00+00:00,102.5
2019-01-17 00:00:00+00:00,102.92
2019-01-18 00:00:00+00:00,104.59
2019-01-22 00:00:00+00:00,102.94
2019-01-23 00:00:00+00:00,102.68
2019-01-24 00:00:00+00:00,102.74
2019-01-25 00:00:00+00:00,103.39
2019-01-28 00:00:00+00:00,103.88
2019-01-29 00:00:00+00:00,104.17
2019-01-30 00:00:00+00:00,104.41
2019-01-31 00:00:00+00:00,103.5
2019-02-01 00:00:00+00:00,103.88
2019-02-04 00:00:00+00:00,104.25
2019-02-05 00:00:00+00:00,103.79
2019-02-06 00:00:00+00:00,103.74
2019-02-07 00:00:00+00:00,102.38
2019-02-08 00:00:00+00:00,101.36
2019-02-11 00:00:00+00:00,100.88
2019-02-12 00:00:00+00:00,102.6
2019-02-13 00:00:00+00:00,103.09
2019-02-14 00:00:00+00:00,102.42
2019-02-15 00:00:00+00:00,105.55
2019-02-19 00:00:00+00:00,105.18
2019-02-20 00:00:00+00:00,105.69
2019-02-21 00:00:00+00:00,105.47
2019-02-22 00:00:00+00:00,105.0
2019-02-25 00:00:00+00:00,106.1
2019-02-26 00:00:00+00:00,105.29
2019-02-27 00:00:00+00:00,105.16
2019-02-28 00:00:00+00:00,104.36
2019-03-01 00:00:00+00:00,104.43
2019-03-04 00:00:00+00:00,104.19
2019-03-05 00:00:00+00:00,104.11
2019-03-06 00:00:00+00:00,103.72
2019-03-07 00:00:00+00:00,102.97
2019-03-08 00:00:00+00:00,103.01
2019-03-11 00:00:00+00:00,104.35
2019-03-12 00:00:00+00:00,104.04
2019-03-13 00:00:00+00:00,104.39
2019-03-14 00:00:00+00:00,105.34
2019-03-15 00:00:00+00:00,106.55
2019-03-18 00:00:00+00:00,107.19
2019-03-19 00:00:00+00:00,106.8
2019-03-20 00:00:00+00:00,104.52
2019-03-21 00:00:00+00:00,102.87
2019-03-22 00:00:00+00:00,99.76
2019-03-25 00:00:00+00:00,98.93
2019-03-26 00:00:00+00:00,99.92
2019-03-27 00:00:00+00:00,99.58
2019-03-28 00:00:00+00:00,100.71
2019-03-29 00:00:00+00:00,101.23
2019-04-01 00:00:00+00:00,104.64
2019-04-02 00:00:00+00:00,105.14
2019-04-03 00:00:00+00:00,105.35
2019-04-04 00:00:00+00:00,105.56
2019-04-05 00:00:00+00:00,105.31
2019-04-08 00:00:00+00:00,105.65
2019-04-09 00:00:00+00:00,104.87
2019-04-10 00:00:00+00:00,105.34
2019-04-11 00:00:00+00:00,106.23
2019-04-12 00:00:00+00:00,111.21
2019-04-15 00:00:00+00:00,109.94
2019-04-16 00:00:00+00:00,111.1
2019-04-17 00:00:00+00:00,114.3
2019-04-18 00:00:00+00:00,113.46
2019-04-22 00:00:00+00:00,113.6
2019-04-23 00:00:00+00:00,113.74
2019-04-24 00:00:00+00:00,113.55
2019-04-25 00:00:00+00:00,113.61
2019-04-26 00:00:00+00:00,114.47
2019-04-29 00:00:00+00:00,116.12
2019-04-30 00:00:00+00:00,116.05
2019-05-01 00:00:00+00:00,115.16
2019-05-02 00:00:00+00:00,115.41
2019-05-03 00:00:00+00:00,116.12
2019-05-06 00:00:00+00:00,115.09
2019-05-07 00:00:00+00:00,113.21
2019-05-08 00:00:00+00:00,112.61
2019-05-09 00:00:00+00:00,112.52
2019-05-10 00:00:00+00:00,112.51
2019-05-13 00:00:00+00:00,109.45
2019-05-14 00:00:00+00:00,110.32
2019-05-15 00:00:00+00:00,109.9
2019-05-16 00:00:00+00:00,111.31
2019-05-17 00:00:00+00:00,110.77
2019-05-20 00:00:00+00:00,111.35
2019-05-21 00:00:00+00:00,111.73
2019-05-22 00:00:00+00:00,110.82
2019-05-23 00:00:00+00:00,108.64
2019-05-24 00:00:00+00:00,109.71
2019-05-28 00:00:00+00:00,108.52
2019-05-29 00:00:00+00:00,108.22
