date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-01-02 00:00:00+00:00,99.31,99.78,95.94,95.95,15670850,86.5188336144,86.9282974327,83.582890917,83.5916029131,15670850,0.0,1.0
2019-01-03 00:00:00+00:00,97.11,98.89,96.69,98.64,16286426,85.2991541555,86.8626645499,84.9302359726,86.6430703934,16286426,0.8,1.0
2019-01-04 00:00:00+00:00,100.69,100.93,98.28,99.11,16935205,88.4437424768,88.654552867,86.326854808,87.0559074076,16935205,0.0,1.0
2019-01-07 00:00:00+00:00,100.76,101.47,99.71,100.43,15430712,88.5052288406,89.1288762451,87.5829333832,88.215364554,15430712,0.0,1.0
2019-01-08 00:00:00+00:00,100.57,101.82,99.55,101.63,13578777,88.3383372816,89.4363080642,87.4423931231,89.2694165053,13578777,0.0,1.0
2019-01-09 00:00:00+00:00,100.4,101.49,99.93,100.81,14230331,88.1890132552,89.1464437776,87.776176241,88.5491476719,14230331,0.0,1.0
2019-01-10 00:00:00+00:00,100.39,100.73,99.27,100.02,14376430,88.180229489,88.4788775418,87.1964476678,87.8552301373,14376430,0.0,1.0
2019-01-11 00:00:00+00:00,99.91,100.17,98.95,99.89,15439850,87.7586087085,87.9869866312,86.9153671475,87.7410411759,15439850,0.0,1.0
2019-01-14 00:00:00+00:00,100.94,101.36,98.66,98.87,21258458,88.6633366333,89.0322548162,86.6606379259,86.8450970174,21258458,0.0,1.0
2019-01-15 00:00:00+00:00,101.68,102.47,98.6,98.89,26504852,89.3133353366,90.0072528711,86.6079353283,86.8626645499,26504852,0.0,1.0
2019-01-16 00:00:00+00:00,102.5,103.45,101.8,102.25,18532952,90.0336041699,90.8680619647,89.4187405317,89.8140100134,18532952,0.0,1.0
2019-01-17 00:00:00+00:00,102.92,103.5,101.92,102.11,14247564,90.4025223529,90.911980796,89.5241457268,89.6910372858,14247564,0.0,1.0
2019-01-18 00:00:00+00:00,104.59,104.9,102.83,103.77,16428710,91.8694113184,92.1417080724,90.3234684565,91.149142485,16428710,0.0,1.0
2019-01-22 00:00:00+00:00,102.94,103.59,102.13,103.08,17083681,90.4200898854,90.9910346923,89.7086048183,90.543062613,17083681,0.0,1.0
2019-01-23 00:00:00+00:00,102.68,103.7,101.97,103.44,12146678,90.1917119626,91.0876561212,89.5680645581,90.8592781984,12146678,0.0,1.0
2019-01-24 00:00:00+00:00,102.74,103.09,101.94,102.13,11296764,90.2444145602,90.5518463793,89.5417132593,89.7086048183,11296764,0.0,1.0
2019-01-25 00:00:00+00:00,103.39,104.31,102.74,103.51,14412559,90.8153593671,91.6234658631,90.2444145602,90.9207645622,14412559,0.0,1.0
2019-01-28 00:00:00+00:00,103.88,104.24,102.59,102.89,12283089,91.2457639139,91.5619794992,90.1126580663,90.3761710541,12283089,0.0,1.0
